object name,RA (in degree),DEC (in degree),g magnitude,i magnitude,r magnitude
manga-8655-3701  ,356.75183,-0.4473874,16.962833917980053,17.745536212515344,18.205294182456008
manga-8655-9101  ,356.53702,1.0303342,18.02679177401012,16.89440547325623,17.426807381572026
manga-8656-12705 ,7.387001,-1.0956997,16.603647928517496,15.759024312939427,16.144875905732434
manga-8656-6101  ,7.8003993,-0.40735427,17.667219098120874,16.69786272322129,17.126958372966342
manga-8656-6103  ,7.293456,-0.16378926,17.027001463935157,15.495131819926787,15.91732960565553
manga-8657-6101  ,9.399203,0.28066185,16.557721223301254,16.456717657316183,16.814723554081944
manga-8712-6101  ,118.72692,53.846275,17.483643814018315,15.782909261209824,16.162770785182744
manga-8713-6104  ,118.31732,39.05012,18.819919735707813,15.921104321717642,16.156129715339112
manga-8713-9102  ,118.85539,39.186096,16.78075065964666,17.09564149349433,17.6066640082543
manga-8714-3704  ,118.18415,45.949276,19.059610024363025,16.188286031439016,16.82431909040377
manga-8715-3701  ,119.12,50.287865,19.595352032787133,17.343802227985343,17.85744784195483
manga-8715-3702  ,119.92067,50.839973,17.943273008253215,17.9936351107959,18.570208540852033
manga-8717-1901  ,117.456,34.88391,18.701074036345663,16.441551910316335,16.96407819575004
manga-8717-1902  ,118.09111,34.32657,18.67288962163838,17.18753147235138,17.713097077596522
manga-8717-3704  ,117.51833,34.479317,17.995259478853875,17.342747411238058,17.857484271627584
manga-8717-6103  ,118.291306,35.93252,17.51231151303496,16.54685200562239,17.01726130555034
manga-8718-12701 ,119.18215,44.85671,17.0625160643515,16.27872698729761,16.77009767315741
manga-8721-9102  ,135.79643,54.064327,19.891802196209387,15.63468062843602,16.132869105489554
manga-8723-6104  ,130.40778,54.91857,16.702010472189635,18.597447760059737,19.0962397996326
manga-8723-9102  ,126.87885,54.904694,18.549559641299503,15.27966646646858,15.7234356133553
manga-8724-12702 ,132.01706,54.028023,18.21931984898591,17.262097810691976,17.732759848848417
manga-8724-12703 ,132.59502,55.378742,17.872698951579903,16.643149363909664,17.120650542459654
manga-8725-9102  ,127.17809,45.742554,18.17614102234647,17.20640049532697,17.400193445494352
manga-8726-1902  ,117.57766,23.17823,17.25477394204846,17.03661551848072,17.430225283449897
manga-8932-3701  ,194.65533,27.176556,18.40466167090228,16.82905815588877,16.948667717360212
